idx,mapping_original_idx,sentenceId,start_ms_trimmed,end_ms_trimmed,duration_ms,weight,confidence,text
0,0,P0002_L0004_S0001,0.0,4400.0,4400.0,135.09154800000002,0.905349,ॐ भ॒द्रं कर्णे॑भिः श‍ृणु॒याम॑ देवाः।
1,1,P0002_L0004_S0002,4400.0,9200.0,4800.0,117.76091999999998,0.441161,भ॒द्रं प॑श्येमा॒क्षभि॒र्यज॑त्राः।
2,2,P0002_L0005_S0003,9200.0,14000.0,4800.0,145.59966,0.454232,स्थि॒रैरङ्गै᳚स्तुष्टु॒वाꣳ स॑स्त॒नूभिः॑।
3,3,P0002_L0005_S0004,14000.0,16000.0,2000.0,107.9781,0.228494,व्यशे॑म दे॒वहि॑तं॒ यदायुः॑।
4,4,P0002_L0006_S0005,16000.0,19600.0,3600.0,114.7884,0.453974,स्व॒स्ति न॒ इन्द्रो॑ वृ॒द्धश्र॑वाः।
5,5,P0002_L0006_S0006,19600.0,23248.0,3648.0,118.06728000000001,0.581398,स्व॒स्ति नः॑ पू॒षा वि॒श्ववे॑दाः।
6,6,P0002_L0007_S0007,23248.0,27344.0,4096.0,139.55249999999998,0.536833,स्व॒स्ति न॒स्तार्क्ष्यो॒ अरि॑ष्टनेमिः।
7,7,P0002_L0007_S0008,27344.0,31616.0,4272.0,153.50257499999998,0.563596,स्व॒स्ति नो॒ बृह॒स्पति॑र्दधातु॥
8,8,P0002_L0008_S0009,31616.0,36400.0,4784.0,158.86666875000003,0.584076,ॐ शान्तिः॒ शान्तिः॒ शान्तिः॑॥
9,9,P0002_L0009_S0010,36400.0,40400.0,4000.0,93.00852,0.471917,ॐ नम॑स्ते ग॒णप॑तये।
10,10,P0002_L0009_S0011,40400.0,45456.0,5056.0,111.60888,0.604146,त्वमे॒व प्र॒त्यक्षं॒ तत्त्व॑मसि।
11,11,P0002_L0010_S0012,45456.0,49600.0,4144.0,100.79328000000001,0.437908,त्वमे॒व के ॒वलं ॒ कर्ता॑ऽसि।
12,12,P0002_L0010_S0013,49600.0,52000.0,2400.0,99.55008,0.232355,त्वमे॒व के ॒वलं ॒ धर्ता॑ऽसि।
13,13,P0002_L0010_S0014,52000.0,53600.0,1600.0,98.37811200000003,0.439791,त्वमे॒व के ॒वलं ॒ हर्ता॑ऽसि।
14,14,P0002_L0011_S0015,53600.0,57200.0,3600.0,118.87349999999998,0.430313,त्वमेव सर्वं खल्विदं॑ ब्रह्मा॒सि।
15,15,P0002_L0011_S0016,57200.0,60800.0,3600.0,176.04675,0.453298,त्वं साक्षादात्मा॑ऽसि नि॒त्यम्॥
16,17,P0002_L0012_S0018,60800.0,64400.0,3600.0,51.17592,0.435848,ऋ॑तं व॒च्मि।
17,18,P0002_L0012_S0019,64400.0,68800.0,4400.0,68.16855,0.437677,स॑त्यं व॒च्मि॥
18,20,P0002_L0013_S0021,68800.0,71600.0,2800.0,64.93212000000001,0.233593,अ॒व त्वं॒ माम्।
19,21,P0002_L0013_S0022,71600.0,72608.0,1008.0,66.07302,0.556903,अव॑ व॒क्तारम्᳚।
20,22,P0002_L0013_S0023,72608.0,74608.0,2000.0,68.67432,0.470476,अव॑ श्रो॒तारम्᳚।
21,23,P0002_L0013_S0024,74608.0,76800.0,2192.0,66.0192,0.457507,अव॑ दा॒तारम्᳚।
22,24,P0002_L0013_S0025,76800.0,79200.0,2400.0,67.48476,0.447474,अव॑ धा॒तारम्᳚।
23,25,P0002_L0014_S0026,79200.0,82000.0,2800.0,123.83015999999998,0.480584,अवानूचानम॑व शि॒ष्यम्।
24,26,P0002_L0014_S0027,82000.0,84928.0,2928.0,78.80765999999998,0.509458,अव॑ प॒श्चात्ता᳚त्।
25,27,P0002_L0014_S0028,84928.0,87744.0,2816.0,75.05129999999998,0.496968,अव॑ पु॒रस्ता᳚त्।
26,28,P0002_L0014_S0029,87744.0,90800.0,3056.0,80.94527999999998,0.389011,अवोत्त॒रात्ता᳚त्।
27,29,P0002_L0015_S0030,90800.0,94080.0,3280.0,91.84589999999999,0.507104,अव॑ दक्षि॒णात्ता᳚त्।
28,30,P0002_L0015_S0031,94080.0,97600.0,3520.0,88.10471999999999,0.513328,अव॑ चो॒र्ध्वात्ता᳚त्।
29,31,P0002_L0015_S0032,97600.0,100608.0,3008.0,79.52387999999999,0.550005,अवाध॒रात्ता᳚त्।
30,32,P0002_L0016_S0033,100608.0,104320.0,3712.0,180.58584000000002,0.510049,सर्वतो मां पाहि पाहि॑ सम॒न्तात्॥
31,34,P0002_L0017_S0035,104320.0,108000.0,3680.0,108.68352,0.440393,त्वं वाङ्मय॑स्त्वं चिन्म॒यः।
32,35,P0002_L0017_S0036,108000.0,111648.0,3648.0,132.62351999999998,0.527104,त्वमानन्दमय॑स्त्वं ब्रह्म॒मयः।
33,36,P0002_L0017_S0037,111648.0,115200.0,3552.0,134.52894,0.508281,त्वं सच्चिदानन्दाऽद्वि॑तीयो॒ऽसि।
34,37,P0002_L0018_S0038,115200.0,120000.0,4800.0,81.49944,0.481413,त्वं प्र॒त्यक्षं॒ ब्रह्मा॑सि।
35,38,P0002_L0018_S0039,120000.0,123712.0,3712.0,158.1804,0.513748,त्वं ज्ञानमयो विज्ञान॑मयो॒ऽसि॥
36,40,P0002_L0019_S0041,123712.0,127776.0,4064.0,112.97690999999998,0.527772,सर्वं जगदिदं त्व॑त्तो जा॒यते।
37,41,P0002_L0019_S0042,127776.0,132128.0,4352.0,112.20174,0.580747,सर्वं जगदिदं त्व॑त्तस्ति॒ष्ठति।
38,42,P0002_L0020_S0043,132128.0,135600.0,3472.0,127.053495,0.476663,सर्वं जगदिदं त्वयि ल॑यमेष्य॒ति।
39,43,P0002_L0020_S0044,135600.0,140000.0,4400.0,111.99006,0.449444,सर्वं जगदिदं त्वयि॑ प्रत्ये॒ति।
40,44,P0002_L0021_S0045,140000.0,142000.0,2000.0,143.2266,0.226541,त्वं भूमिरापोऽनलोऽनि॑लो न॒भः।
41,45,P0002_L0021_S0046,142000.0,144048.0,2048.0,117.44617500000001,0.570265,त्वं चत्वारि वा᳚क्पदा॒नि॥
42,47,P0002_L0022_S0048,144048.0,148112.0,4064.0,77.35743,0.573489,त्वं गु॒णत्र॑याती॒तः।
43,48,P0002_L0022_S0049,148112.0,152496.0,4384.0,95.81604,0.557403,त्वं अवस्थात्र॑याती॒तः।
44,49,P0002_L0022_S0050,152496.0,156800.0,4304.0,73.46549999999999,0.426068,त्वं दे॒हत्र॑याती॒तः।
45,50,P0003_L0001_S0001,156800.0,160944.0,4144.0,82.33811999999999,0.549364,त्वं का॒लत्र॑याती॒तः।
46,51,P0003_L0001_S0002,160944.0,165200.0,4256.0,153.53580000000002,0.529788,त्वं मूलाधारस्थितो॑ऽसि नि॒त्यम्।
47,52,P0003_L0001_S0003,165200.0,168400.0,3200.0,88.14827999999999,0.517066,त्वं शक्तित्र॑यात्म॒कः।
48,53,P0003_L0002_S0004,168400.0,172400.0,4000.0,141.28466999999998,0.430083,त्वां योगिनो ध्याय॑न्ति नि॒त्यम्।
49,54,P0003_L0002_S0005,172400.0,175680.0,3280.0,163.061,0.541509,त्वं ब्रह्मा त्वं विष्णुस्त्वं रुद्रस्त्वमिन्द्रस्त्वमग्निस्त्वं
50,55,P0003_L0003_S0005,175680.0,179200.0,3520.0,277.82685000000004,0.489234,वायुस्त्वं सूर्यस्त्वं चन्द्रमास्त्वं ब्रह्म॒ भूर्भुवः॒ स्वरोम्॥
51,57,P0003_L0004_S0007,179200.0,183648.0,4448.0,196.9743,0.57288,ग॒णादिं᳚ पूर्व॑मुच्चा॒र्य॒ व॒र्णादिं᳚स्तदन॒न्तरम्।
52,58,P0003_L0004_S0008,183648.0,187232.0,3584.0,81.79503,0.573337,अनुस्वारः प॑रत॒रः।
53,59,P0003_L0004_S0009,187232.0,191712.0,4480.0,89.21562,0.62443,अर्धे᳚न्दुल॒सितम्।
54,60,P0003_L0005_S0010,191712.0,196400.0,4688.0,73.69613999999999,0.230436,तारे॑ण ऋ॒द्धम्।
55,61,P0003_L0005_S0011,196400.0,198400.0,2000.0,103.05938999999998,0.219973,एतत्तव मनु॑स्वरू॒पम्।
56,62,P0003_L0005_S0012,198400.0,204752.0,6352.0,87.84254999999999,0.597276,गकारः पू᳚र्वरू॒पम्।
57,63,P0003_L0005_S0013,204752.0,210800.0,6048.0,105.11952,0.487836,अकारो मध्य॑मरू॒पम्।
58,64,P0003_L0006_S0014,210800.0,214000.0,3200.0,122.62265999999998,0.420748,अनुस्वारश्चा᳚न्त्यरू॒पम्।
59,65,P0003_L0006_S0015,214000.0,217200.0,3200.0,92.52485999999998,0.443974,बिन्दुरुत्त॑ररू॒पम्।
60,66,P0003_L0006_S0016,217200.0,219600.0,2400.0,84.62711999999999,0.493812,नादः॑ सन्धा॒नम्।
61,67,P0003_L0006_S0017,219600.0,222896.0,3296.0,82.69374,0.541884,सꣳहि॑ता स॒न्धिः।
62,68,P0003_L0007_S0018,222896.0,226800.0,3904.0,75.37728,0.431437,सैषा गणे॑शवि॒द्या।
63,69,P0003_L0007_S0019,226800.0,230000.0,3200.0,60.976679999999995,0.442845,गण॑क ऋ॒षिः।
64,70,P0003_L0007_S0020,230000.0,234160.0,4160.0,94.12565999999998,0.57544,निचृद्गाय॑त्रीच्छ॒न्दः।
65,71,P0003_L0008_S0021,234160.0,237072.0,2912.0,70.04328,0.537505,गणपति॑र्देव॒ता।
66,72,P0003_L0008_S0022,237072.0,239760.0,2688.0,108.73985625,0.533827,ॐ गं ग॒णप॑तये नमः॥
67,74,P0003_L0009_S0024,239760.0,242800.0,3040.0,172.24971,0.44187,एकद॒न्ताय॑ वि॒द्महे॑ वक्रतु॒ण्डाय॑ धीमहि।
68,75,P0003_L0009_S0025,242800.0,246000.0,3200.0,147.33345000000003,0.510516,तन्नो॑ दन्तिः प्रचो॒दया᳚त्॥
69,77,P0003_L0010_S0027,246000.0,248096.0,2096.0,195.6357,0.521215,एकद॒न्तं च॑तुर्ह॒स्तं॒ पा॒शम॑ङ्कुश॒धारि॑णम्।
70,78,P0003_L0010_S0028,248096.0,251696.0,3600.0,185.46509999999998,0.551582,रदं॑ च॒ वर॑दं ह॒स्तै॒र्बि॒भ्राणं॑ मूष॒कध्व॑जम्।
71,79,P0003_L0011_S0029,251696.0,255600.0,3904.0,177.64919999999998,0.43795,रक्तं ॑ ल॒म्बोद॑रं शू॒र्प॒क॒र्णकं ॑ रक्त॒वास॑सम्।
72,80,P0003_L0011_S0030,255600.0,259200.016,3600.016,200.05584,0.53493,रक्त॑ग॒न्धानु॑लिप्ता॒ङ्गं ॒ र॒क्तपु॑ष्पैः सु॒पूजि॑तम्।
73,81,P0003_L0012_S0031,259200.016,264800.0,5599.984,203.99435999999997,0.547738,भक्ता॑नु॒कम्पि॑नं दे॒वं॒ ज॒गत्का॑रण॒मच्यु॑तम्।
74,82,P0003_L0012_S0032,264800.0,269600.0,4800.0,199.83089999999999,0.480276,आवि॑र्भू॒तं च॑ सृ॒ष्ट्या॒दौ॒ प्र॒कृतेः᳚ पुरु॒षात्प॑रम्।
75,83,P0003_L0013_S0033,269600.0,274976.0,5376.0,239.651353125,0.563144,एवं॑ ध्या॒यति॑ यो नि॒त्यं॒ स॒ योगी॑ योगि॒नां व॑रः॥
76,85,P0003_L0014_S0035,274976.0,278000.0,3024.0,61.98839999999999,0.193058,नमो व्रातपतये।
77,86,P0003_L0014_S0036,278000.0,280832.0,2832.0,60.760799999999996,0.577377,नमो गणपतये।
78,87,P0003_L0014_S0037,280832.0,283600.0,2768.0,68.1012,0.22048,नमः प्रमथपतये।
79,88,P0003_L0015_S0038,283600.0,286800.0,3200.0,431.4177,0.531327,नमस्तेऽस्तु लम्बोदरायैकदन्ताय विघ्नविनाशिने शिवसुताय श्रीवरदमूर्तये॒ नमः॑॥
80,90,P0003_L0016_S0040,286800.0,288800.0,2000.0,110.12123999999999,0.236954,एतदथर्वशीर्षं॑ योऽधी॒ते।
81,91,P0003_L0016_S0041,288800.0,293088.0,4288.0,94.77996,0.551836,स ब्रह्मभूया॑य क॒ल्पते।
82,92,P0003_L0016_S0042,293088.0,298800.0,5712.0,94.11864000000001,0.49745,स सर्वविघ्नै᳚र्न बा॒ध्यते।
83,93,P0003_L0017_S0043,298800.0,305696.0,6896.0,86.15754,0.59171,स सर्वतः सुख॑मेध॒ते।
84,94,P0003_L0017_S0044,305696.0,312032.0,6336.0,122.85830999999997,0.537954,स पञ्चमहापापा᳚त्प्रमु॒च्यते।
85,95,P0003_L0018_S0045,312032.0,318400.0,6368.0,181.93113000000002,0.212816,सा॒यम॑धीया॒नो॒ दिवसकृतं पापं॑ नाश॒यति।
86,96,P0003_L0018_S0046,318400.0,329200.0,10800.0,170.12839499999998,0.55431,प्रा॒तर॑धीया॒नो॒ रात्रिकृतं पापं॑ नाश॒यति।
87,97,P0003_L0019_S0047,329200.0,336400.0,7200.0,171.892128,0.533448,सायं प्रातः प्र॑युञ्जा॒नो॒ पापोऽपा॑पो भ॒वति।
88,98,P0003_L0019_S0048,336400.0,340848.0,4448.0,142.45463999999998,0.529462,सर्वत्राधीयानोऽपवि॑घ्नो भ॒वति।
89,99,P0003_L0020_S0049,340848.0,344128.0,3280.0,123.54408,0.501106,धर्मार्थकाममोक्षं॑ च वि॒न्दति।
90,100,P0003_L0020_S0050,344128.0,349200.0,5072.0,157.13148,0.448022,इदमथर्वशीर्षमशिष्याय॑ न दे॒यम्।
91,101,P0003_L0021_S0051,349200.0,354800.0,5600.0,187.61631,0.53241,यो यदि मो॑हाद् दा॒स्यति स पापी॑यान्भ॒वति।
92,102,P0003_L0022_S0052,354800.0,360400.0,5600.0,287.24752499999994,0.574673,सहस्रावर्तनाद्यं यं काम॑मधी॒ते तं तमने॑न सा॒धयेत्॥
93,104,P0003_L0023_S0054,360400.0,366400.0,6000.0,189.51088800000002,0.52147,अनेन गणपतिम॑भिषि॒ञ्चति स वा॑ग्मी भ॒वति।
94,105,P0003_L0024_S0055,366400.0,371200.0,4800.0,195.66888000000003,0.465073,चतुर्थ्यामन॑श्नन्ज॒पति स विद्या॑वान्भ॒वति।
95,106,P0003_L0024_S0056,371200.0,375600.0,4400.0,98.68793999999998,0.498048,इत्यथर्व॑णवा॒क्यम्।
96,107,P0003_L0025_S0057,375600.0,380400.0,4800.0,231.11520000000002,0.507665,ब्रह्माद्यावर॑णं वि॒द्यान्न बिभेति कदा॑चने॒ति॥
97,109,P0003_L0026_S0059,380400.0,386400.0,6000.0,176.74480800000003,0.407968,यो दूर्वाङ्कु॑रैर्य॒जति स वैश्रवणोप॑मो भ॒वति।
98,110,P0003_L0027_S0060,386400.0,394400.0,8000.0,151.14414,0.440791,यो ला॑जैर्य॒जति स यशो॑वान्भ॒वति।
99,111,P0003_L0027_S0061,394400.0,399600.0,5200.0,82.94055,0.49654,स मेधा॑वान्भ॒वति।
100,112,P0004_L0001_S0001,399600.0,405200.0,5600.0,227.11065600000003,0.465569,यो मोदकसहस्रे॑ण य॒जति स वाञ्छितफलम॑वाप्नो॒ति।
101,113,P0004_L0002_S0002,405200.0,408400.0,3200.0,266.96565,0.490861,यः साज्य समि॑द्भिर्य॒जति स सर्वं लभते स स॑र्वं ल॒भते॥
102,115,P0004_L0003_S0004,408400.0,415200.0,6800.0,244.61472000000003,0.437554,अष्टौ ब्राह्मणान्सम्यग्ग्रा॑हयि॒त्वा सूर्यवर्च॑स्वी भ॒वति।
103,116,P0004_L0004_S0005,415200.0,421600.0,6400.0,260.14930285714286,0.424172,सूर्यग्रहे म॑हान॒द्यां प्रतिमासन्निधौ वा ज॒प्त्वा सिद्धम॑न्त्रो भ॒वति।
104,117,P0004_L0005_S0006,421600.0,426400.0,4800.0,104.52947999999998,0.377961,महाविघ्ना᳚त्प्रमु॒च्यते।
105,118,P0004_L0005_S0007,426400.0,429280.0,2880.0,102.95904,0.517298,महादोषा᳚त्प्रमु॒च्यते।
106,119,P0004_L0005_S0008,429280.0,436000.0,6720.0,102.96041999999997,0.487679,महापापा᳚त्प्रमु॒च्यते।
107,120,P0004_L0006_S0009,436000.0,442800.0,6800.0,126.76403999999998,0.529598,महाप्रत्यवाया᳚त्प्रमु॒च्यते।
108,121,P0004_L0006_S0010,442800.0,450800.0,8000.0,131.869155,0.427904,स सर्वविद्भवति स सर्व॑विद्भ॒वति।
109,122,P0004_L0007_S0011,450800.0,453200.0,2400.0,40.27188,0.199586,य ए॑वं वे॒द।
110,123,P0004_L0007_S0012,453200.0,459232.0,6032.0,94.1574,0.561522,इत्यु॑प॒निष॑त्॥
111,125,P0004_L0008_S0014,459232.0,467264.0,8032.0,158.86666875000003,0.488538,ॐ शान्तिः॒ शान्तिः॒ शान्तिः॑॥
112,126,P0004_L0009_S0015,467264.0,471232.0,3968.0,69.37524,0.502274,ॐ स॒ह ना॑ववतु।
113,127,P0004_L0009_S0016,471232.0,476000.0,4768.0,57.38832000000001,0.443907,स॒ह नौ॑ भुनक्तु।
114,128,P0004_L0010_S0017,476000.0,480112.0,4112.0,82.87488,0.474846,स॒ह वी॒र्यं॑ करवावहै।
115,129,P0004_L0011_S0018,480112.0,487200.0,7088.0,167.94492,0.448093,ते॒ज॒स्विना॒वधी॑तमस्तु॒ मा वि॑द्विषा॒वहै᳚।
116,130,P0004_L0012_S0019,487200.0,492000.0,4800.0,158.86666875000003,0.397283,ॐ शान्तिः॒ शान्तिः॒ शान्तिः॑॥
117,131,P0004_L0013_S0020,492000.0,497360.0,5360.0,135.09154800000002,0.560218,ॐ भ॒द्रं कर्णे॑भिः श‍ृणु॒याम॑ देवाः।
118,132,P0004_L0013_S0021,497360.0,501200.0,3840.0,117.76091999999998,0.5191,भ॒द्रं प॑श्येमा॒क्षभि॒र्यज॑त्राः।
119,133,P0004_L0014_S0022,501200.0,505200.0,4000.0,145.59966,0.470073,स्थि॒रैरङ्गै᳚स्तुष्टु॒वाꣳ स॑स्त॒नूभिः॑।
120,134,P0004_L0014_S0023,505200.0,510400.0,5200.0,107.9781,0.221275,व्यशे॑म दे॒वहि॑तं॒ यदायुः॑।
121,135,P0004_L0015_S0024,510400.0,514016.0,3616.0,114.7884,0.525375,स्व॒स्ति न॒ इन्द्रो॑ वृ॒द्धश्र॑वाः।
122,136,P0004_L0015_S0025,514016.0,517807.969,3791.969,118.06728000000001,0.541263,स्व॒स्ति नः॑ पू॒षा वि॒श्ववे॑दाः।
123,137,P0004_L0016_S0026,517807.969,523600.0,5792.031,139.55249999999998,0.957185,स्व॒स्ति न॒स्तार्क्ष्यो॒ अरि॑ष्टनेमिः।
124,138,P0004_L0016_S0027,523600.0,525200.0,1600.0,153.50257499999998,0.991097,स्व॒स्ति नो॒ बृह॒स्पति॑र्दधातु॥
125,139,P0004_L0017_S0028,525200.0,526338.0,1138.0,158.86666875000003,0.987793,ॐ शान्तिः॒ शान्तिः॒ शान्तिः॑॥
