idx,sentenceId,text,start_ms_trimmed,end_ms_trimmed,duration_ms,exp_end_ms,obs_end_ms,drift_ms,drift_jump_ms,silence_width_ms,rms_db_at_end,contrast_db,confidence,weight
0,P0002_L0004_S0001,ॐ भ॒द्रं कर्णे॑भिः श‍ृणु॒याम॑ देवाः।,0.0,4400.0,4400.0,4115.214,4400.0,284.786,284.786,1648.0,-34.0453,-1.8353,0.897881,135.091548
1,P0002_L0004_S0002,भ॒द्रं प॑श्येमा॒क्षभि॒र्यज॑त्राः।,4400.0,9200.0,4800.0,7702.495,9200.0,1497.505,1212.719,528.0,-25.819,-7.9291,0.519171,117.76092
2,P0002_L0005_S0003,स्थि॒रैरङ्गै᳚स्तुष्टु॒वाꣳ स॑स्त॒नूभिः॑।,9200.0,14000.0,4800.0,12137.811,14000.0,1862.189,364.684,624.0,-25.3781,-13.2038,0.523175,145.59966
3,P0002_L0005_S0004,व्यशे॑म दे॒वहि॑तं॒ यदायुः॑।,14000.0,16000.0,2000.0,15427.084,16000.0,572.916,-1289.273,0.0,-17.9596,2.7737,0.336151,107.9781
4,P0002_L0006_S0005,स्व॒स्ति न॒ इन्द्रो॑ वृ॒द्धश्र॑वाः।,16000.0,19600.0,3600.0,18923.815,19600.0,676.185,103.269,640.0,-25.8345,-15.1667,0.520438,114.7884
5,P0002_L0006_S0006,स्व॒स्ति नः॑ पू॒षा वि॒श्ववे॑दाः।,19600.0,23248.0,3648.0,22520.428,23248.0,727.572,51.386,592.0,-31.3012,5.1972,0.648875,118.06728
6,P0002_L0007_S0007,स्व॒स्ति न॒स्तार्क्ष्यो॒ अरि॑ष्टनेमिः।,23248.0,27344.0,4096.0,26771.533,27344.0,572.467,-155.105,528.0,-30.6436,3.3632,0.611761,139.5525
7,P0002_L0007_S0008,स्व॒स्ति नो॒ बृह॒स्पति॑र्दधातु॥,27344.0,31616.0,4272.0,31447.591,31616.0,168.409,-404.058,576.0,-29.56,5.4256,0.635205,153.502575
8,P0002_L0008_S0009,ॐ शान्तिः॒ शान्तिः॒ शान्तिः॑॥,31616.0,36400.0,4784.0,36287.052,36400.0,112.948,-55.461,608.0,-31.7123,3.8278,0.649349,158.866669
9,P0002_L0009_S0010,ॐ नम॑स्ते ग॒णप॑तये।,36400.0,40400.0,4000.0,39120.315,40400.0,1279.685,1166.737,624.0,-26.3795,-11.2431,0.540444,93.00852
10,P0002_L0009_S0011,त्वमे॒व प्र॒त्यक्षं॒ तत्त्व॑मसि।,40400.0,45456.0,5056.0,42520.191,45456.0,2935.809,1656.125,656.0,-32.8049,2.1326,0.662956,111.60888
11,P0002_L0010_S0012,त्वमे॒व के ॒वलं ॒ कर्ता॑ऽसि।,45456.0,49600.0,4144.0,45590.596,49600.0,4009.404,1073.594,576.0,-26.26,-13.1406,0.509681,100.79328
12,P0002_L0010_S0013,त्वमे॒व के ॒वलं ॒ धर्ता॑ऽसि।,49600.0,52000.0,2400.0,48623.132,52000.0,3376.868,-632.535,0.0,-19.7966,1.5143,0.338831,99.55008
13,P0002_L0010_S0014,त्वमे॒व के ॒वलं ॒ हर्ता॑ऽसि।,52000.0,53600.0,1600.0,51619.966,53600.0,1980.034,-1396.834,592.0,-26.1594,-14.039,0.510081,98.378112
14,P0002_L0011_S0015,त्वमेव सर्वं खल्विदं॑ ब्रह्मा॒सि।,53600.0,57200.0,3600.0,55241.138,57200.0,1958.862,-21.173,544.0,-26.3063,-11.8541,0.504972,118.8735
15,P0002_L0011_S0016,त्वं साक्षादात्मा॑ऽसि नि॒त्यम्॥,57200.0,60672.0,3472.0,60603.946,60672.0,68.054,-1890.808,560.0,-32.0819,2.991,0.629274,176.04675
16,P0002_L0011_S0017,१॥,60672.0,61600.0,928.0,60603.946,61600.0,996.054,928.0,0.0,-13.1322,2.6091,0.311216,1e-06
17,P0002_L0012_S0018,ऋ॑तं व॒च्मि।,61600.0,68800.0,7200.0,62162.888,68800.0,6637.112,5641.058,608.0,-25.2701,-14.7038,0.507372,51.17592
18,P0002_L0012_S0019,स॑त्यं व॒च्मि॥,68800.0,84000.0,15200.0,64239.466,84000.0,19760.534,13123.422,0.0,-13.2913,2.1737,0.30978,68.16855
19,P0002_L0012_S0020,२॥,84000.0,84928.0,928.0,64239.466,84928.0,20688.534,928.0,480.0,-28.9473,4.6073,0.591443,1e-06
20,P0002_L0013_S0021,अ॒व त्वं॒ माम्।,84928.0,87744.0,2816.0,66217.455,87744.0,21526.545,838.011,464.0,-29.5713,2.9791,0.579398,64.93212
21,P0002_L0013_S0022,अव॑ व॒क्तारम्᳚।,87744.0,90800.0,3056.0,68230.198,90800.0,22569.802,1043.257,512.0,-23.8074,-13.7274,0.467057,66.07302
22,P0002_L0013_S0023,अव॑ श्रो॒तारम्᳚।,90800.0,94080.0,3280.0,70322.183,94080.0,23757.817,1188.015,512.0,-27.9454,2.68,0.58705,68.67432
23,P0002_L0013_S0024,अव॑ दा॒तारम्᳚।,94080.0,95600.0,1520.0,72333.287,95600.0,23266.713,-491.104,0.0,-16.0301,0.7525,0.31595,66.0192
24,P0002_L0013_S0025,अव॑ धा॒तारम्᳚।,95600.0,97600.0,2000.0,74389.035,97600.0,23210.965,-55.748,560.0,-29.3407,-1.9887,0.586235,67.48476
25,P0002_L0014_S0026,अवानूचानम॑व शि॒ष्यम्।,97600.0,100608.0,3008.0,78161.2,100608.0,22446.8,-764.165,528.0,-32.2235,3.815,0.622801,123.83016
26,P0002_L0014_S0027,अव॑ प॒श्चात्ता᳚त्।,100608.0,104320.0,3712.0,80561.871,104320.0,23758.129,1311.329,496.0,-29.7408,2.3868,0.58917,78.80766
27,P0002_L0014_S0028,अव॑ पु॒रस्ता᳚त्।,104320.0,108000.0,3680.0,82848.114,108000.0,25151.886,1393.757,496.0,-27.7388,-7.6771,0.519,75.0513
28,P0002_L0014_S0029,अवोत्त॒रात्ता᳚त्।,108000.0,111648.0,3648.0,85313.902,111648.0,26334.098,1182.212,528.0,-30.365,1.9562,0.60228,80.94528
29,P0002_L0015_S0030,अव॑ दक्षि॒णात्ता᳚त्।,111648.0,115200.0,3552.0,88111.749,115200.0,27088.251,754.153,544.0,-30.226,-2.6047,0.58146,91.8459
30,P0002_L0015_S0031,अव॑ चो॒र्ध्वात्ता᳚त्।,115200.0,120000.0,4800.0,90795.631,120000.0,29204.369,2116.118,528.0,-28.7111,-4.2041,0.557509,88.10472
31,P0002_L0015_S0032,अवाध॒रात्ता᳚त्।,120000.0,121600.0,1600.0,93218.12,121600.0,28381.88,-822.489,0.0,-16.4342,2.1112,0.324978,79.52388
32,P0002_L0016_S0033,सर्वतो मां पाहि पाहि॑ सम॒न्तात्॥,121600.0,122800.0,1200.0,98719.199,122800.0,24080.801,-4301.079,0.0,-9.9789,0.1917,0.284205,180.58584
33,P0002_L0016_S0034,३॥,122800.0,123712.0,912.0,98719.199,123712.0,24992.801,912.0,480.0,-29.6963,4.464,0.594743,1e-06
34,P0002_L0017_S0035,त्वं वाङ्मय॑स्त्वं चिन्म॒यः।,123712.0,125600.0,1888.0,102029.961,125600.0,23570.039,-1422.762,0.0,-18.0038,-7.3814,0.284854,108.68352
35,P0002_L0017_S0036,त्वमानन्दमय॑स्त्वं ब्रह्म॒मयः।,125600.0,127776.0,2176.0,106069.992,127776.0,21706.008,-1864.032,512.0,-28.5758,5.6119,0.607243,132.62352
36,P0002_L0017_S0037,त्वं सच्चिदानन्दाऽद्वि॑तीयो॒ऽसि।,127776.0,128800.0,1024.0,110168.068,128800.0,18631.932,-3074.075,0.0,-18.7922,-8.3685,0.283743,134.52894
37,P0002_L0018_S0038,त्वं प्र॒त्यक्षं॒ ब्रह्मा॑सि।,128800.0,132128.0,3328.0,112650.737,132128.0,19477.263,845.331,576.0,-32.2274,5.3144,0.648574,81.49944
38,P0002_L0018_S0039,त्वं ज्ञानमयो विज्ञान॑मयो॒ऽसि॥,132128.0,135488.0,3360.0,117469.292,135488.0,18018.708,-1458.556,576.0,-30.0617,2.3765,0.620973,158.1804
39,P0002_L0018_S0040,४॥,135488.0,136400.0,912.0,117469.292,136400.0,18930.708,912.0,0.0,-15.4478,-6.7557,0.276093,1e-06
40,P0002_L0019_S0041,सर्वं जगदिदं त्व॑त्तो जा॒यते।,136400.0,137712.0,1312.0,120910.841,137712.0,16801.159,-2129.549,368.0,-21.7076,5.6374,0.513209,112.97691
41,P0002_L0019_S0042,सर्वं जगदिदं त्व॑त्तस्ति॒ष्ठति।,137712.0,140000.0,2288.0,124328.776,140000.0,15671.224,-1129.935,544.0,-26.9751,-9.1981,0.524524,112.20174
42,P0002_L0020_S0043,सर्वं जगदिदं त्वयि ल॑यमेष्य॒ति।,140000.0,142000.0,2000.0,128199.131,142000.0,13800.869,-1870.355,0.0,-18.5798,1.5236,0.332694,127.053495
43,P0002_L0020_S0044,सर्वं जगदिदं त्वयि॑ प्रत्ये॒ति।,142000.0,144048.0,2048.0,131610.618,144048.0,12437.382,-1363.487,560.0,-31.8188,5.2563,0.640347,111.99006
44,P0002_L0021_S0045,त्वं भूमिरापोऽनलोऽनि॑लो न॒भः।,144048.0,145200.0,1152.0,135973.645,145200.0,9226.355,-3211.027,0.0,-12.6506,-0.4347,0.293662,143.2266
45,P0002_L0021_S0046,त्वं चत्वारि वा᳚क्पदा॒नि॥,145200.0,147200.0,2000.0,139551.338,147200.0,7648.662,-1577.693,0.0,-14.6688,-6.7621,0.272528,117.446175
46,P0002_L0021_S0047,५॥,147200.0,148112.0,912.0,139551.338,148112.0,8560.662,912.0,576.0,-32.155,4.0739,0.641455,1e-06
47,P0002_L0022_S0048,त्वं गु॒णत्र॑याती॒तः।,148112.0,152400.0,4288.0,141907.832,152400.0,10492.168,1931.506,560.0,-28.0522,11.1884,0.652898,77.35743
48,P0002_L0022_S0049,त्वं अवस्थात्र॑याती॒तः।,152400.0,156608.0,4208.0,144826.619,156608.0,11781.381,1289.213,576.0,-32.2137,4.3722,0.643388,95.81604
49,P0002_L0022_S0050,त्वं दे॒हत्र॑याती॒तः।,156608.0,160944.0,4336.0,147064.555,160944.0,13879.445,2098.064,560.0,-29.4884,4.2986,0.622698,73.4655
50,P0003_L0001_S0001,त्वं का॒लत्र॑याती॒तः।,160944.0,165136.0,4192.0,149572.772,165136.0,15563.228,1683.783,576.0,-31.367,4.6693,0.640573,82.33812
51,P0003_L0001_S0002,त्वं मूलाधारस्थितो॑ऽसि नि॒त्यम्।,165136.0,168384.0,3248.0,154249.842,168384.0,14134.158,-1429.07,512.0,-29.0033,4.8112,0.605033,153.5358
52,P0003_L0001_S0003,त्वं शक्तित्र॑यात्म॒कः।,168384.0,172400.0,4016.0,156935.051,172400.0,15464.949,1330.791,528.0,-25.469,-9.5168,0.507765,88.14828
53,P0003_L0002_S0004,त्वां योगिनो ध्याय॑न्ति नि॒त्यम्।,172400.0,179120.0,6720.0,161238.922,179120.0,17881.078,2416.129,544.0,-29.3412,5.3206,0.621685,141.28467
54,P0003_L0002_S0005,त्वं ब्रह्मा त्वं विष्णुस्त्वं रुद्रस्त्वमिन्द्रस्त्वमग्निस्त्वं,179120.0,183600.0,4480.0,166206.153,183600.0,17393.847,-487.231,576.0,-30.626,8.8968,0.659552,163.061
55,P0003_L0003_S0005,वायुस्त्वं सूर्यस्त्वं चन्द्रमास्त्वं ब्रह्म॒ भूर्भुवः॒ स्वरोम्॥,183600.0,190800.0,7200.0,174669.427,190800.0,16130.573,-1263.275,0.0,-16.2947,-11.0477,0.2599,277.82685
56,P0003_L0003_S0006,६॥,190800.0,191712.0,912.0,174669.427,191712.0,17042.573,912.0,672.0,-32.1536,5.3865,0.682242,1e-06
57,P0003_L0004_S0007,ग॒णादिं᳚ पूर्व॑मुच्चा॒र्य॒ व॒र्णादिं᳚स्तदन॒न्तरम्।,191712.0,192800.0,1088.0,180669.738,192800.0,12130.262,-4912.311,0.0,-12.7721,-4.2798,0.275648,196.9743
58,P0003_L0004_S0008,अनुस्वारः प॑रत॒रः।,192800.0,194000.0,1200.0,183161.412,194000.0,10838.588,-1291.673,0.0,-20.3373,7.8702,0.376289,81.79503
59,P0003_L0004_S0009,अर्धे᳚न्दुल॒सितम्।,194000.0,195200.0,1200.0,185879.134,195200.0,9320.866,-1517.723,0.0,-17.8803,-3.6214,0.302782,89.21562
60,P0003_L0005_S0010,तारे॑ण ऋ॒द्धम्।,195200.0,196400.0,1200.0,188124.096,196400.0,8275.904,-1044.962,0.0,-17.8549,3.3915,0.338896,73.69614
61,P0003_L0005_S0011,एतत्तव मनु॑स्वरू॒पम्।,196400.0,197600.0,1200.0,191263.533,197600.0,6336.467,-1939.437,0.0,-12.9114,-7.1832,0.262718,103.05939
62,P0003_L0005_S0012,गकारः पू᳚र्वरू॒पम्।,197600.0,198800.0,1200.0,193939.429,198800.0,4860.571,-1475.895,0.0,-13.7429,1.7804,0.309985,87.84255
63,P0003_L0005_S0013,अकारो मध्य॑मरू॒पम्।,198800.0,200000.0,1200.0,197141.622,200000.0,2858.378,-2002.194,0.0,-12.0991,-0.5612,0.290442,105.11952
64,P0003_L0006_S0014,अनुस्वारश्चा᳚न्त्यरू॒पम्।,200000.0,201200.0,1200.0,200877.004,201200.0,322.996,-2535.381,0.0,-16.0158,-1.3281,0.305306,122.62266
65,P0003_L0006_S0015,बिन्दुरुत्त॑ररू॒पम्।,201200.0,202400.0,1200.0,203695.534,202400.0,-1295.534,-1618.53,0.0,-14.1753,5.889,0.333407,92.52486
66,P0003_L0006_S0016,नादः॑ सन्धा॒नम्।,202400.0,203600.0,1200.0,206273.479,203600.0,-2673.479,-1377.946,0.0,-10.4009,-0.1815,0.28436,84.62712
67,P0003_L0006_S0017,सꣳहि॑ता स॒न्धिः।,203600.0,204752.0,1152.0,208792.53,204752.0,-4040.53,-1367.05,640.0,-31.2634,4.0882,0.659835,82.69374
68,P0003_L0007_S0018,सैषा गणे॑शवि॒द्या।,204752.0,206000.0,1248.0,211088.703,206000.0,-5088.703,-1048.173,0.0,-14.5753,-2.5376,0.292412,75.37728
69,P0003_L0007_S0019,गण॑क ऋ॒षिः।,206000.0,207200.0,1200.0,212946.199,207200.0,-5746.199,-657.496,0.0,-13.0047,-8.6672,0.256358,60.97668
70,P0003_L0007_S0020,निचृद्गाय॑त्रीच्छ॒न्दः।,207200.0,208400.0,1200.0,215813.494,208400.0,-7413.494,-1667.294,0.0,-10.3042,2.6203,0.297623,94.12566
71,P0003_L0008_S0021,गणपति॑र्देव॒ता।,208400.0,209600.0,1200.0,217947.18,209600.0,-8347.18,-933.687,0.0,-12.1709,-3.765,0.275351,70.04328
72,P0003_L0008_S0022,ॐ गं ग॒णप॑तये नमः॥,209600.0,210688.0,1088.0,221259.658,210688.0,-10571.658,-2224.478,592.0,-31.4077,2.7784,0.636248,108.739856
73,P0003_L0008_S0023,७॥,210688.0,211600.0,912.0,221259.658,211600.0,-9659.658,912.0,0.0,-13.5699,-11.0631,0.248063,1e-06
